STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/1/17,9.84,",,W",,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",46,"H,,S",52,",,W",34,",,W",290,",,W",270,",,W",21,",,W",27.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/2/17,10.07,",,W",,,0.31,",,W,2400",0,"T,,W,2400",0,",,W,2400",40,"H,,S",43,",,W",34,",,W",50,",,W",60,",,W",16.1,",,W",19,",,W",1,",,W",,,,,1,",,W",,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/3/17,13.42,",,W",,,0.46,",,W,2400",0,",,W,2400",0,",,W,2400",43,"H,,S",46,",,W",41,",,W",60,",,W",50,",,W",21,",,W",25.9,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/4/17,17.67,",,W",,,0,"T,,W,2400",0,",,W,2400",0,",,W,2400",46,"H,,S",55,",,W",35,",,W",290,",,W",270,",,W",29.1,",,W",40.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/5/17,17.67,",,W",,,0,"T,,W,2400",0,"T,,W,2400",0,",,W,2400",34,"H,,S",35,",,W",28,",,W",260,",,W",280,",,W",31.1,",,W",36.9,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/6/17,8.72,",,W",,,0.03,",,W,2400",1.1,",,W,2400",1.2,",,W,2400",32,"H,,S",36,",,W",27,",,W",330,",,W",310,",,W",17,",,W",25.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/7/17,16.11,",,W",,,0.22,",,W,2400",8.2,",,W,2400",0,"T,,W,2400",25,"H,,S",27,",,W",21,",,W",340,",,W",350,",,W",29.1,",,W",35.1,",,W",1,",,W",,,,,,,,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/8/17,18.34,",,W",,,0,"T,,W,2400",0,"T,,W,2400",7.9,",,W,2400",21,"H,,S",26,",,W",18,",,W",320,",,W",310,",,W",29.1,",,W",35.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/9/17,11.18,",,W",,,0,",,W,2400",0,",,W,2400",7.1,",,W,2400",20,"H,,S",24,",,W",13,",,W",240,",,W",300,",,W",21,",,W",25.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/10/17,7.83,",,W",,,0,",,W,2400",0,",,W,2400",5.9,",,W,2400",27,"H,,S",47,",,W",20,",,W",170,",,W",180,",,W",25.1,",,W",30,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/11/17,11.63,",,W",,,0.46,",,W,2400",0,",,W,2400",1.2,",,W,2400",45,"H,,S",51,",,W",41,",,W",210,",,W",210,",,W",23.9,",,W",32,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/12/17,11.41,",,W",,,0.1,",,W,2400",0,",,W,2400",1.2,",,W,2400",50,"H,,S",61,",,W",46,",,W",230,",,W",220,",,W",18.1,",,W",23,",,W",1,",,W",,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/13/17,16.78,",,W",,,0,",,W,2400",0,",,W,2400",0,",,W,2400",50,"H,,S",58,",,W",34,",,W",320,",,W",320,",,W",29.1,",,W",35.1,",,W",,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/14/17,5.82,",,W",,,0.15,",,W,2400",1.8,",,W,2400",0,",,W,2400",32,"H,,S",34,",,W",28,",,W",10,",,W",10,",,W",14.1,",,W",15,",,W",1,",,W",,,,,,,,,,,1,",,W",,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,1/15/17,8.28,",,W",,,0,",,W,2400",0,",,W,2400",2,",,W,2400",35,"H,,S",41,",,W",30,",,W",360,",,W",350,",,W",14.1,",,W",19,",,W",,,,,,,,,,,,,,,,
